resume_idx,job_idx,cosine_similarity
0,3321,0.8336647
0,2856,0.81316614
0,3160,0.8089479
0,2403,0.80210066
0,2937,0.79041857
1,3321,0.8197514
1,2403,0.81742287
1,4674,0.80951774
1,2856,0.8022189
1,4087,0.7946022
2,2856,0.8629317
2,3321,0.8575711
2,3160,0.85715735
2,2403,0.8481238
2,1178,0.8459302
3,742,0.7935848
3,803,0.7905092
3,5418,0.78858954
3,4311,0.78682745
3,4982,0.7864281
4,2937,0.9121555
4,2856,0.90983176
4,3160,0.9059837
4,3321,0.89820766
4,3248,0.8962836
5,2403,0.81975806
5,4674,0.8036663
5,1178,0.78258175
5,5292,0.77896607
5,3321,0.77827907
6,5289,0.88074636
6,2937,0.87777036
6,2403,0.87575495
6,3321,0.8685068
6,3160,0.8653966
7,2937,0.9011156
7,2856,0.8932228
7,3160,0.8908818
7,3321,0.89041525
7,5289,0.8873179
8,2856,0.89874554
8,1178,0.87436235
8,5289,0.87338966
8,3321,0.865551
8,3160,0.8641647
9,2856,0.85775536
9,5289,0.85256577
9,3321,0.8409426
9,3160,0.83807445
9,4289,0.8225077
10,4674,0.8675072
10,2403,0.855312
10,2856,0.85321164
10,3160,0.8423697
10,3321,0.834497
11,2937,0.9276571
11,3160,0.911866
11,3248,0.9060106
11,2856,0.9029637
11,3321,0.89671075
12,1178,0.8976344
12,2856,0.89717305
12,3160,0.8962877
12,2937,0.89065164
12,3321,0.88729155
13,3321,0.85151196
13,2856,0.8474834
13,5289,0.844222
13,4289,0.8364366
13,2403,0.83250344
14,3321,0.850817
14,2856,0.83756465
14,5289,0.8372509
14,4674,0.83098245
14,4289,0.82057065
15,2624,0.770131
15,2687,0.76225656
15,742,0.7619071
15,2403,0.7598937
15,3588,0.75888866
16,3321,0.8320532
16,3160,0.8239668
16,2856,0.82311153
16,2403,0.8201648
16,1178,0.8054783
17,5289,0.8765068
17,3321,0.85079324
17,4056,0.8464447
17,2403,0.84640956
17,2856,0.8459071
18,3160,0.89569944
18,3321,0.89538455
18,2856,0.8936048
18,2937,0.8862685
18,2403,0.86881936
19,3160,0.88020086
19,2856,0.8767041
19,2937,0.8740335
19,3321,0.8550231
19,1178,0.8528751
20,5292,0.8304194
20,3178,0.792471
20,5129,0.7847436
20,2687,0.7810056
20,4910,0.779435
21,3321,0.83119917
21,4674,0.8289736
21,2403,0.8262818
21,3160,0.82085186
21,2856,0.8166862
22,2937,0.8869713
22,3321,0.8854622
22,3160,0.88100195
22,2856,0.8734461
22,1178,0.86834025
23,5289,0.9236129
23,2856,0.8784549
23,3160,0.87303674
23,3321,0.8654039
